Artist,Track,Featuring Artist,Streams,Album,Release Date,Album Cover,Artist Image
Denzel Curry,32 Ave Intro,0,42,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Chief Forever,0,36,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Envy Me,0,42,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Ultimate - Remix,1,40,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Lord Vader Kush II,0,37,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Ice Age,0,51,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Delusional Shone,1,35,32 Zel,2015-06-09,https://i.scdn.co/image/ab67616d0000b2736fa4c154a5b5a2a031633d5b,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Dreamville,Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes),1,69,D-Day: A Gangsta Grillz Mixtape,2022-03-31,https://i.scdn.co/image/ab67616d0000b273580d8d4b0061e5a244c86c77,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a
Dreamville,Ghetto Gods Freestyle (with EARTHGANG feat. 2 Chainz),1,51,D-Day: A Gangsta Grillz Mixtape,2022-03-31,https://i.scdn.co/image/ab67616d0000b273580d8d4b0061e5a244c86c77,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a
Dreamville,Lifestyle (with Bas feat. A$AP Ferg),1,56,D-Day: A Gangsta Grillz Mixtape,2022-03-31,https://i.scdn.co/image/ab67616d0000b273580d8d4b0061e5a244c86c77,https://i.scdn.co/image/ab6761610000e5ebadd503b411a712e277895c8a
